HSN/SAC_CD,HSN/SAC_Name,,,,,,,,
1,HSN - 01 - LIVE ANIMALS,,,,,,,,
101,"HSN - 0101 - LIVE HORSES, ASSES, MULES AND HINNIES.",,,,,,,,
1011010,"HSN - 01011010 - LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMALS HORSES",,,,,,,,
1011020,"HSN - 01011020 - LIVE HORSES, ASSES, MULESANDHINNIES PURE-BRED BREEDING ANIMALS ASSES",,,,,,,,
1011090,"HSN - 01011090 - LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMAL S OTHER",,,,,,,,
10121,HSN - 010121 - PURE-BRED BREEDING ANIMALS,,,,,,,,
1012100,HSN - 01012100 - PURE-BRED BREEDING ANIMALS,,,,,,,,
10129,HSN - 010129 - other,,,,,,,,
1012910,HSN - 01012910 - Horses for polo,,,,,,,,
1012990,HSN - 01012990 - other,,,,,,,,
10130,HSN - 010130 - Asses,,,,,,,,
1013010,HSN - 01013010 - Pure-bred breeding animals,,,,,,,,
1013020,HSN - 01013020 - livestock,,,,,,,,
1013090,HSN - 01013090 - other,,,,,,,,
10190,HSN - 010190 - Other,,,,,,,,
1019010,"HSN - 01019010 - LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - HORSES FOR POLO",,,,,,,,
1019020,"HSN - 01019020 - LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - ASSES, MULES AND HINNIES AS LIVE STOCK",,,,,,,,
1019030,HSN - 01019030 - Mules and hinnies as livestock,,,,,,,,
1019090,HSN - 01019090 - OTHER,,,,,,,,
102,HSN - 0102 - LIVE BOVINE ANIMALS.,,,,,,,,
1021010,HSN - 01021010 - LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS : ADULT,,,,,,,,
1021020,"HSN - 01021020 - LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS COWS, ADULT",,,,,,,,
1021030,"HSN - 01021030 - LIVE BOVINE ANIMALS- BULLS - PURE-BRED BREEDING ANIMALS BUFFALOES, ADULT AND CALVES",,,,,,,,
1021090,HSN - 01021090 - LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS OTHER,,,,,,,,
10221,HSN - 010221 - Pure-bred breeding animals,,,,,,,,
1022110,HSN - 01022110 - Bulls,,,,,,,,
1022120,HSN - 01022120 - Cows,,,,,,,,
10229,HSN - 010229 - Other,,,,,,,,
1022910,HSN - 01022910 - Bulls,,,,,,,,
1022990,"HSN - 01022990 - OTHER, INCLUDING CALVES",,,,,,,,
10231,HSN - 010231 - PURE-BRED BREEDING ANIMALS,,,,,,,,
1023100,HSN - 01023100 - Pure-bred breeding animals,,,,,,,,
10239,HSN - 010239 - OTHER,,,,,,,,
1023900,HSN - 01023900 - OTHER,,,,,,,,
10290,HSN - 010290 - Other,,,,,,,,
1029010,HSN - 01029010 - PURE-BRED BREEDING ANIMALS,,,,,,,,
1029020,"HSN - 01029020 - LIVE BOVINE ANIMALS - OTHER - BUFFALOES, ADULT AND CALVES",,,,,,,,
1029090,HSN - 01029090 - OTHER,,,,,,,,
103,HSN - 0103 - LIVE SWINE,,,,,,,,
10310,HSN - 010310 - PURE-BRED BREEDING ANIMALS,,,,,,,,
1031000,HSN - 01031000 - PURE-BRED BREEDING ANIMALS,,,,,,,,
10391,HSN - 010391 - WEIGHING LESS THAN 50KG,,,,,,,,
1039100,HSN - 01039100 - WEIGHING LESS THAN 50KG,,,,,,,,
10392,HSN - 010392 - WEIGHING 50KG OR MORE,,,,,,,,
1039200,HSN - 01039200 - WEIGHING 50KG OR MORE,,,,,,,,
104,HSN - 0104 - LIVE SHEEP AND GOATS,,,,,,,,
10410,HSN - 010410 - Sheep,,,,,,,,
1041010,HSN - 01041010 - SHEEP INCLUDING LAMB FOR BREEDING PURPOSE,,,,,,,,
1041090,HSN - 01041090 - OTHER,,,,,,,,
10420,HSN - 010420 - GOATS,,,,,,,,
1042000,HSN - 01042000 - GOATS,,,,,,,,
105,"HSN - 0105 - LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.",,,,,,,,
10511,HSN - 010511 - FOWLS OF THE SPECIES GALLUS DOMESTICUS,,,,,,,,
1051100,HSN - 01051100 - FOWLS OF THE SPECIES GALLUS DOMESTICUS,,,,,,,,
10512,HSN - 010512 - TURKEYS,,,,,,,,
1051200,HSN - 01051200 - TURKEYS,,,,,,,,
10513,HSN - 010513 - DUCKS,,,,,,,,
1051300,HSN - 01051300 - Ducks,,,,,,,,
10514,HSN - 010514 - GEESE,,,,,,,,
1051400,HSN - 01051400 - Geese,,,,,,,,
10515,HSN - 010515 - GUINEA FOWLS,,,,,,,,
1051500,HSN - 01051500 - Guinea fowls,,,,,,,,
1051900,"HSN - 01051900 - SPECIES GALLU SDOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS WEIGHING NOT MORE THAN 185G : OTHER",,,,,,,,
1059200,"HSN - 01059200 - LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEAFOWLS - OTHER - FOWLS OF THE SPECIES GALLUS DOMESTICUS WEIGHING NOT MORE THAN 2000G",,,,,,,,
1059300,"HSN - 01059300 - LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEAFOWLS - OTHER - FOWLS OF THE SPECIES GALLUSDOMESTICUS WEIGHING MORE THAN 2000G,",,,,,,,,
10594,HSN - 010594 - FOWLS OF THE SPECIES GALLUS DOMESTICUS,,,,,,,,
1059400,HSN - 01059400 - FOWLS OF THE SPECIES GALLUS DOMESTICUS,,,,,,,,
10599,HSN - 010599 - OTHER,,,,,,,,
1059900,HSN - 01059900 - OTHER,,,,,,,,
106,HSN - 0106 - OTHER LIVE ANIMALS.,,,,,,,,
10611,HSN - 010611 - PRIMATES,,,,,,,,
1061100,HSN - 01061100 - PRIMATES,,,,,,,,
10612,"HSN - 010612 - WHALES, DOLPHINS AND PORPOISES (MAMMALS OF THE ORDER CETACEA), MANATEES AND DUGONGS (MAMMALS OF THE ORDER SIRENIA), SEALS, SEA LIONS AND WALRUSES (MAMMALS OF THE SUBORDER PINNIPEDIA)",,,,,,,,
1061200,"HSN - 01061200 - WHALES, DOLPHINS AND PORPOISES (MAMMALS OF THE ORDER CETACEA), MANATEES AND DUGONGS (MAMMALS OF THE ORDER SIRENIA), SEALS, SEA LIONS AND WALRUSES (MAMMALS OF THE SUBORDER PINNIPEDIA)",,,,,,,,
10613,HSN - 010613 - CAMELS AND OTHER CAMELIDS (CAMELIDAE),,,,,,,,
1061300,HSN - 01061300 - Camels and other camelids (Camelidae),,,,,,,,
10614,HSN - 010614 - RABBITS AND HARES,,,,,,,,
1061400,HSN - 01061400 - RABBITS AND HARES,,,,,,,,
10619,HSN - 010619 - OTHER,,,,,,,,
1061900,HSN - 01061900 - OTHER,,,,,,,,
10620,HSN - 010620 - REPTILES (INCLUDING SNAKES AND TURTLES),,,,,,,,
1062000,HSN - 01062000 - REPTILES (INCLUDING SNAKES AND TURTLES),,,,,,,,
10631,HSN - 010631 - BIRDS OF PREY,,,,,,,,
1063100,HSN - 01063100 - BIRDS OF PREY,,,,,,,,
10632,"HSN - 010632 - PSITTACIFORMES INCL. PARROTS, PARRAKEETS, MACAWS AND COCKATOOS",,,,,,,,
1063200,"HSN - 01063200 - PSITTACIFORMES INCL. PARROTS, PARRAKEETS, MACAWS AND COCKATOOS",,,,,,,,
10633,"HSN - 010633 - OSTRICHES,EMUS (DROMAIUS NOVAEHOLLANDIAE)",,,,,,,,
1063300,"HSN - 01063300 - OSTRICHES, EMUS (DROMAIUS NOVAEHOLLANDIAE)",,,,,,,,
10639,HSN - 010639 - OTHER,,,,,,,,
1063900,HSN - 01063900 - OTHER,,,,,,,,
10641,HSN - 010641 - Bees,,,,,,,,
1064110,HSN - 01064110 - Pureline stock,,,,,,,,
1064190,HSN - 01064190 - other,,,,,,,,
10649,HSN - 010649 - Other,,,,,,,,
1064910,HSN - 01064910 - Pureline Stock,,,,,,,,
1064990,HSN - 01064990 - Other,,,,,,,,
10690,HSN - 010690 - Other,,,,,,,,
1069000,HSN - 01069000 - Other,,,,,,,,
1069010,"HSN - 01069010 - OTHERLIVE ANIMALS- OTHER - BEESANDOTHERINSECTS,NOTELSEWHEREINCLUDEDORSPECIFIED",,,,,,,,
1069020,HSN - 01069020 - OTHER LIVE ANIMALS - OTHER - PURE LINE STOCK,,,,,,,,
1069090,HSN - 01069090 - OTHER LIVE ANIMALS - OTHER - OTHER,,,,,,,,
2,HSN - 02 - Meat and edible meat offal,,,,,,,,
201,"HSN - 0201 - MEAT OF BOVINE ANIMALS, FRESH OR CHILLED",,,,,,,,
20110,HSN - 020110 - CARCASES AND HALF-CARCASES,,,,,,,,
2011000,HSN - 02011000 - CARCASES AND HALF-CARCASES,,,,,,,,
20120,HSN - 020120 - OTHER CUTS WITH BONE IN,,,,,,,,
2012000,HSN - 02012000 - OTHER CUTS WITH BONE IN,,,,,,,,
20130,HSN - 020130 - BONELESS,,,,,,,,
2013000,HSN - 02013000 - BONELESS,,,,,,,,
202,"HSN - 0202 - MEAT OF BOVINE ANIMALS, FROZEN",,,,,,,,
20210,HSN - 020210 - CARCASES AND HALF-CARCASES,,,,,,,,
2021000,HSN - 02021000 -  CARCASES AND HALF-CARCASES,,,,,,,,
20220,"HSN - 020220 - OTHER CUTS, WITH BONE IN ",,,,,,,,
2022000,"HSN - 02022000 - OTHER CUTS, WITH BONE IN ",,,,,,,,
20230,HSN - 020230 - BONELESS,,,,,,,,
2023000,HSN - 02023000 - BONELESS,,,,,,,,
203,"HSN - 0203 - MEAT OF SWINE, FRESH, CHILLED OR FROZEN.",,,,,,,,
20310,HSN - 020310 - FRESH OR CHILLED,,,,,,,,
20311,HSN - 020311 - CARCASES AND HALF-CARCASES ,,,,,,,,
2031100,HSN - 02031100 - CARCASES AND HALF-CARCASES ,,,,,,,,
20312,"HSN - 020312 - HAMS, SHOULDERS AND CUTS THEREOF OF , WITH BONE IN",,,,,,,,
2031200,"HSN - 02031200 - HAMS, SHOULDERS AND CUTS THEREOF OF , WITH BONE IN",,,,,,,,
20319,HSN - 020319 - OTHER,,,,,,,,
2031900,HSN - 02031900 - OTHER,,,,,,,,
20321,HSN - 020321 - CARCASES AND HALF-CARCASES ,,,,,,,,
2032100,HSN - 02032100 - CARCASES AND HALF-CARCASES ,,,,,,,,
20322,"HSN - 020322 - HAMS, SHOULDERS AND CUTS THEREOF OF, WITH BONE IN",,,,,,,,
2032200,"HSN - 02032200 - HAMS, SHOULDERS AND CUTS THEREOF OF , WITH BONE IN",,,,,,,,
20329,HSN - 020329 - OTHER,,,,,,,,
2032900,HSN - 02032900 - OTHER,,,,,,,,
204,"HSN - 0204 - MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN",,,,,,,,
20410,"HSN - 020410 - CARCASES AND HALF-CARCASES OF LAMB, FRESH OR CHILLED",,,,,,,,
2041000,"HSN - 02041000 - CARCASSES AND HALF-CARCASSES OF LAMB, FRESH OR CHILLED",,,,,,,,
20420,"HSN - 020420 - OTHER MEAT OF SHEEP, FRESH OR CHILLED",,,,,,,,
20421,HSN - 020421 - CARCASSES AND HALF-CARCASSES,,,,,,,,
2042100,HSN - 02042100 - CARCASSES AND HALF-CARCASSES,,,,,,,,
20422,HSN - 020422 - OTHER CUTS WITH BONE IN,,,,,,,,
2042200,HSN - 02042200 - OTHER CUTS WITH BONE IN,,,,,,,,
20423,HSN - 020423 - BONELESS,,,,,,,,
2042300,HSN - 02042300 - BONELESS,,,,,,,,
20430,"HSN - 020430 - CARCASSES AND HALF-CARCASSES OF LAMB, FROZEN",,,,,,,,
2043000,"HSN - 02043000 - CARCASSES AND HALF-CARCASSES OF LAMB, FROZEN",,,,,,,,
20441,HSN - 020441 - CARCASSES AND HALF-CARCASSES,,,,,,,,
2044100,HSN - 02044100 - CARCASSES AND HALF-CARCASSES,,,,,,,,
20442,HSN - 020442 - OTHER CUTS WITH BONE IN,,,,,,,,
2044200,HSN - 02044200 - OTHER CUTS WITH BONE IN,,,,,,,,
20443,HSN - 020443 - BONELESS,,,,,,,,
2044300,HSN - 02044300 - BONELESS,,,,,,,,
20450,HSN - 020450 - MEAT OF GOATS,,,,,,,,
2045000,HSN - 02045000 - MEAT OF GOATS,,,,,,,,
205,"HSN - 0205 - MEAT OF HORSES, ASSES, MULES OR HINNIES, FRESH, CHILLED OR FROZEN",,,,,,,,
20500,"HSN - 020500 - MEAT OF HORSES, ASSES, MULES OR HINNES, FRESH, CHILLED OR FROZEN",,,,,,,,
2050000,"HSN - 02050000 - MEAT OF HORSES, ASSES, MULES OR HINNES, FRESH, CHILLED OR FROZEN",,,,,,,,
206,"HSN - 0206 - EDIBLE OFFAL OF BOVINE ANIMALS, SWINE, SHEEP, GOATS, HORSES, ASSES, MULES OR HINNIES, FRESH, CHILLED OR FROZEN",,,,,,,,
20610,"HSN - 020610 - OF BOVINE ANIMALS, FRESH OR CHILLED",,,,,,,,
2061000,"HSN - 02061000 - OF BOVINE ANIMALS, FRESH OR CHILLED",,,,,,,,
20621,HSN - 020621 - TONGUES,,,,,,,,
2062100,HSN - 02062100 - TONGUES,,,,,,,,
20622,HSN - 020622 - LIVERS,,,,,,,,
2062200,HSN - 02062200 - LIVERS,,,,,,,,
20629,HSN - 020629 - OTHER,,,,,,,,
2062900,HSN - 02062900 - OTHER,,,,,,,,
20630,"HSN - 020630 - OF SWINE, FRESH OR CHILLED",,,,,,,,
2063000,"HSN - 02063000 - OF SWINE, FRESH OR CHILLED",,,,,,,,
20641,HSN - 020641 - LIVERS,,,,,,,,
2064100,HSN - 02064100 - LIVERS,,,,,,,,
20649,HSN - 020649 - OTHER,,,,,,,,
2064900,HSN - 02064900 - OTHER,,,,,,,,
20680,"HSN - 020680 - OTHER, FRESH OR CHILLED :",,,,,,,,
2068010,HSN - 02068010 - OF SHEEP OR GOATS,,,,,,,,
2068090,HSN - 02068090 - OTHER,,,,,,,,
20690,"HSN - 020690 - OTHER, FROZEN :",,,,,,,,
2069010,HSN - 02069010 - OF SHEEP OR GOATS,,,,,,,,
2069090,HSN - 02069090 - OTHER,,,,,,,,
207,"HSN - 0207 - MEAT AND EDIBLE OFFAL, OF THE POULTRY OF HEADING 0105, FRESH, CHILLED OR FROZEN",,,,,,,,
20711,"HSN - 020711 - NOT CUT IN PIECES, FRESH OR CHILLED",,,,,,,,
2071100,"HSN - 02071100 - NOT CUT IN PIECES, FRESH OR CHILLED",,,,,,,,
20712,"HSN - 020712 - NOT CUT IN PIECES, FROZEN",,,,,,,,
